guid,full_name,parent_organization,category,description,eligibility_requirements,min_age,max_age,services_provided,keywords,website,program_email,full_address,intake_instructions,latitude,longitude,text_message_instructions,phone_label_1,phone_1,phone_1_ext,phone_label_2,phone_2,phone_2_ext,crisis_line_label,crisis_line_number,financial_information,languages_offered,building_description,ADA_accessibility_notes,transit_instructions,blog_link,twitter_link,facebook_link,youtube_link,instagram_link,covid_message,city,cost_keywords,agency_verified,date_agency_verified,image_url,office_entrance_image_url
6,Community Health Centers of Central Wyoming,Community Health Center of Central Wyoming,Counseling: Offices,"Behavioral health, dental, family medicine, pediatrics, pharmacy, quick care. *Offer sliding fee scale",,11,20,,"In-Person,Sliding Scale",https://www.chccw.org/,,"5000 Blackmore Road, Casper, WY 82609",,42.8420972,-106.2578872,,,307-233-6000,,,,,,,,,,,,,,,,,,Casper,,,,,
20,"Cindy Parrish, LPC",,Counseling: Individual Providers,"Provides therapy services to children, adolescents, and adults. Specializing in sexual abuse, trauma, and nontraditional lifestyles. Medicaid accepted",,11,20,,"In-Person,Medicaid,Trauma",,,"422 South Beech Street, Casper, WY 82601",,42.8464296,-106.3210522,,,307-237-7747,,,,,,,,,,,,,,,,,,Casper,,,,,
21,Comfy Couch Counseling,,Counseling: Individual Providers,"Devon Houser, LPC provides trauma therapy for children, adolescents, and families. Medicaid accepted.",,11,20,,"Online Only,Medicaid,Trauma",,,,,,,,,303-842-7055,,,,,,,,,,,,,,,,,,,,,,,
13,Remember Who You Are Counseling,,Counseling: Offices,"Multiple clinicians provide therapy services for children, adolescents, couples, LGTBQ+. Providers specialize in grief, trauma, play therapy, and EMDR. Medicaid accepted",,11,20,,"In-Person,Medicaid,Trauma,EMDR,LGBTQ-Friendly",https://rememberwhoyouarecounseling.com/,,"141 South Center Street, Casper, WY 82601",,42.8496633,-106.3250467,,,307-333-4028,,,,,,,Medicaid. Medicare. Insurance,,,,,,,,,,,Casper,,,,,
4,Central Wyoming Counseling Center,Central Wyoming Counseling Center,Counseling: Offices,"Early intervention services, wrap around services, substance use treatment, crisis stabilization unit, detox unit, counseling services, medication management",,11,20,,"In-Person,Crisis,Substance Use",https://cwcc.us/,hosting@thebarkfirm.com,"1430 Wilkins Circle, Casper, WY 82601","APPOINTMENT  
								 
								 
									Telehealth available for most outpatient services",42.8653176,-106.3416615,,,307-237-9583,,,,,,,Insurance,for most outpatient services,,,,,,https://www.facebook.com/tr?id=260823243714686&ev=PageView&noscript=1,,https://www.instagram.com/centralwyocc/,,Casper,,,,,
7,Description Counseling,,Counseling: Offices,"Multiple clinicians provide therapy services for children, adolescents, and adults. Some specialties include: trauma, grief, anger, and family systems. Most commercial insurances are accepted, including TriCare, Medicare, and Medicaid.",,11,20,,"In-Person,Medicaid,Medicare,Trauma",https://www.Descriptioncounseling.com/,,"3925 Casper Mountain Road, Casper, WY 82601",,42.8084070,-106.3305160,,,307-222-3042,,,,,,,,,,,,,,,,,,Casper,,,,,
17,Youth Crisis Center,,Counseling: Offices,"Provides individual, family, and group therapy services. Also conducts ASIs for adolescents.",,11,20,,"In-Person,Crisis",https://casperycc.org/clinical-services/,,"1656 East 12th Street, Casper, WY 82601",,42.8389220,-106.3035945,,,307-577-5718,,,,,,,,,,,,,,,,,,Casper,,,,,
5,Central Wyoming Hospice & Transitions (Counseling),Central Wyoming Hospice and Transitions,Counseling: Offices,"Individual and family grief care, support groups, kids' grief camp, community grief events",,11,20,,"In-Person,Grief & Bereavement,Hidden",https://centralwyominghospice.org/services/#grief-care,centralwyominghospice@centralwyominghospice.org,"319 S Wilson St., Casper, WY 82601",,42.8470848,-106.3066358,,,307-577-4832,,,,,,,Medicare. free. no cost,volunteers,,,"Transitions 
		 
		 

		 

		 
		 
		 

		

		

		 

		 

		 

 

 
 Hospice Services -",,,https://www.facebook.com/tr?id=802251088353617&ev=PageView&noscript=1,https://www.youtube.com/embed/z610ixv0scI?si=hU8EAAVDdi2GlFS1,https://www.instagram.com/centralwyohospice/,,Casper,,,,,
26,Integrity Mental Health,Farnum Plaza,Counseling: Individual Providers,Provides therapy for children 8 and up.,,11,20,,In-Person,,,"2241 Farnum Street Suite 102, Casper, WY 82609",,42.8371533,-106.2974518,,,307-262-3309,,,,,,,,,,,,,,,,,,Casper,,,,,
25,Healing Tree Counseling,Leaps & Bounds Preschool,Counseling: Individual Providers,"Mental health should be as important to us as our physical health is: Healing Tree Counseling, LLC in Casper, WY | Jennifer Cruickshank, MS, LPC offers individual, child, adolescent, and family therapy.",,11,20,,"In-Person,Medicaid,EMDR",https://www.healingtreecounselingllc.com/,,"145 West 9th Street, Casper, WY 82601",,42.8416854,-106.3254982,,,307-215-1204,,,,,,,Insurance,,,,,,,https://www.facebook.com/healingtreecounselingllc/,,,,Casper,,,,,
33,"Nancy Sherwood, LPC",,Counseling: Individual Providers,"Provides therapy services for preteens, teens, couples, and adults.",,11,20,,Online Only,,,,,,,,,307-247-1424,,,,,,,,,,,,,,,,,,,,,,,
31,Living Well,,Counseling: Individual Providers,"Corey Wentz, LPC, LAT, provides adolescent, adult, family, and addiction counseling. Also conducts ASIs",,11,20,"Individual, Family, Couples, Depression, Anxiety / Panic, Life Transitions, Sexual Orientation, Relationship Counseling, Addiction, Trauma / Abuse, Communication","In-Person, Individual, Family, Couples, Depression, Anxiety / Panic, Life Transitions, Sexual Orientation, Relationship Counseling, Addiction, Trauma / Abuse, Communication",http://www.caspercounseling.com/,,"1301 S Wisconsin, Casper, WY 82609",appointment,42.8388971,-106.2966024,,,307-797-4683,,,,,,,"Fee-based. Private pay and insurance accepted.",,,,,,,https://www.facebook.com/Casper-WY-Living-Well-Counseling-LLC-302566303133636/?ref=aymt_homepage_panel,,,,Casper,,,,
39,Whispering Springs Counseling,,Counseling: Individual Providers,"Provides counseling services for children, adolescents, and adults. Specializing in behavioral and play therapy.",,11,20,,In-Person,,,"130 N. Ash St. Suite. 201 Casper, WY 82601",,42.8526,-106.3214,,,307-333-4777,,,,,,,,,,,,,,,,,,Casper,,,,,
41,Wyoming Behavioral Institute,Wyoming Behavioral Institute,Psychiatric Care: Medication Management,"Child, adolescent, and adult inpatient psychiatric care. Psychiatric residential treatment facility for girls ages 10 to 17. Outpatient psychiatry for teens and adults. Virtual mental health intensive outpatient program for teens. Outpatient in person and telepsychiatry for teens and adults.",,11,20,,"In-Person,Telehealth",https://wbihelp.com/treatment-services/telehealth/,,"2521 East 15th St, Casper, WY 82609","Appointments, Call  307-439-2139  
 We offer services for depression, anxiety, grief, stress and more",42.8346236,-106.2942131,,,24/7 information/assessment: 800-457-9312 (ask for intake) Outpatient: (307) 439-2139,,,,,,,Insurance,,,,transitions for youth in acute and residential treatment settings,https://wbihelp.com/blog/,,,https://www.youtube.com/watch?v=7JWins8KULU,,,Casper,,,,,
30,KV Davis Counseling,,Counseling: Individual Providers,"Provides play therapy, trauma therapy, and child and adolescent counseling. Medicaid accepted.",,11,20,,"In-Person,Medicaid,Trauma",,,"800 Werner Court Suite 305, Casper, WY 82601",,42.8597250,-106.3327580,,,307-337-4673,,,,,,,,,,,,,,,,,,Casper,,,,,
28,"Jana Sisco, LPC",,Counseling: Individual Providers,"Provides therapy for children, adolescents, adults, and families, EMDR. Medicaid accepted.",,11,20,,"In-Person,Medicaid,EMDR",,,"800 Werner Court Suite 300. Casper, WY 82601",,42.8597250,-106.3327580,,,417-234-7755,,,,,,,,,,,,,,,,,,Casper,,,,,
29,"Jessica Lambrix, LPC",,Counseling: Individual Providers,"Provides child, adolescent, adult therapy, and EMDR. Medicaid accepted.",,11,20,,"Online Only,Medicaid,EMDR",,,,,,,,,307-448-0204,,,,,,,,,,,,,,,,,,,,,,,
36,"Stevie Porter, LPC",,Counseling: Individual Providers,"Provides therapy services for children, adolescents, and adults. Specializing in EMDR and play therapy. Medicaid accepted.",,11,20,,"In-Person,Medicaid,EMDR",,,"540 E Yellowstone Highway Suite 102, Casper, WY 82601",,42.8493841,-106.3185322,,,307-439-5504,,,,,,,,,,,,,,,,,,Casper,,,,,
24,Emotional Wellness Counseling,,Counseling: Individual Providers,"Tammy Michael, LCSW provides therapy for children, adolescent, and adults. Specializes in EMDR and trauma focused CBT. Medicaid is accepted.",,11,20,,"In-Person,Medicaid,Trauma,EMDR",,,"152 North Durbin Street Suite 304, Casper, WY 82601",,42.8510720,-106.3224653,,,307-224-7135,,,,,,,,,,,,,,,,,,Casper,,,,,
34,"Nicole Rosenberger, LCSW",,Counseling: Individual Providers,"Provides therapy services for children, adolescents, individual, and families. Medicaid accepted.",,11,20,,"Online Only,Medicaid",,,,,,,,,307-439-8324,,,,,,,,,,,,,,,,,,,,,,,
35,"Rosemary Bartle, LPC",,Counseling: Individual Providers,Provides child and adolescent therapy. Medicaid accepted,,11,20,,"Online Only,Medicaid",,,,,,,,,307-267-0535,,,,,,,,,,,,,,,,,,,,,,,
40,Wyoming Behavioral Health,,Counseling: Individual Providers,"Lori Hicks, LPC provides therapy services for children, adolescents, adults, couples, and families. Also provides EMDR. Medicaid accepted.",,11,20,,"Online Only,Medicaid,EMDR",,,,,,,,,307-277-6473,,,,,,,,,,,,,,,,,,,,,,,
38,"Tonya Yelton, LPC",,Counseling: Individual Providers,"Provides therapy services for children, adolescents, adults, families, and couples. Specializing in play therapy and expressive art therapy. Medicaid accepted.",,11,20,,"Online Only,Medicaid",,,,,,,,,307-265-6420,,,,,,,,,,,,,,,,,,,,,,,
92,Casper Pride Center,,Belonging & Connection: Third Spaces,"The Center All About The place for inclusivity and support. Casper Pride provides a gathering space for the queer community. Here you can make meaningful connections, attend events, participate in activities, find resources, and enjoy support in a safe and welcoming space. We are currently moving and will update with our new address soon. In [&hellip;]",,,,,LGBTQ-Friendly,https://casperprideguide.com/the-center/,,"145 South Durbin St, #106, Casper, WY 82601",,42.8527,-106.3047,,,1764759152,,,,,,,,,The Center at Melrose: United Church of Christ,,,,,https://www.facebook.com/CasperPrideOrg,,https://www.instagram.com/casperprideorg/,,Casper,,,,,
42,A Beautiful Mind,Durbin Center,Psychiatric Care: Medication Management,"Dr. Michelle Hipsak, DNP, APRN, PMHNP provides child, adolescent, and adult psychiatry in person or via telehealth. Medicaid accepted.",,11,20,,"In-Person,Telehealth,Medicaid",https://www.tebra.com/care/provider/michelle-hipsak-dnp-aprn-pmhnp-1134694383,,"145 S Durbin Street Suite 207, Casper, WY 82601",appointment booking not available at this location,42.8496419,-106.3222239,,,307-337-1173,,,,,,,,at this location,,,,,,,,,,Casper,,,,,
22,Complete Care Counseling,,Counseling: Individual Providers,"Codie Wallace, LPC provides therapy for children, adolescents, adults. Also provides counseling for family conflict and parenting, and sexual abuse/trauma counseling. Medicaid accepted.",,11,20,,"In-Person,Medicaid,Trauma",,,"2510 East 15th Street, Casper, WY 82609",,42.8354128,-106.2947444,,,307-234-9979,,,,,,,,,,,,,,,,,,Casper,,,,,
44,Kintsugi Psychiatry,Durbin Center,Psychiatric Care: Medication Management,"Kintsugi Psychiatry, Casper. 467 likes &#xb7; 37 talking about this. Outpatient mental health services, psychiatric evaluations and medication management.",,11,20,,"In-Person,Medicaid",https://www.facebook.com/kintsugipsych/,,"145 S Durbin Street Suite 108, Casper, WY 82601",,42.8496419,-106.3222239,,,307-333-5757,,,,,,,,,,,,,,https://www.facebook.com/kintsugipsych,,,,Casper,,,,,
23,Embracing Change Counseling,,Counseling: Individual Providers,"Stephanie Fegler, LCSW provides therapy for pre-teens, teens, and adults to address a variety of mental health concerns and substance use. Medicaid accepted and has a cash rate.",,11,20,,"In-Person,Medicaid,Substance Use",https://www.embracingchangecasper.com/home,,"2510 East 15th Street, Casper, WY 82609",,42.8354128,-106.2947444,,,307-277-1874,,,,,,,Free,,,accessible with a 99,,,https://x.com/ExpiredDomainHQ,https://www.facebook.com/expireddomainscom/,https://www.youtube.com/@ExpiredDomainscom,https://www.instagram.com/expireddomainscom/,,Casper,,,,,
50,Parkridge Behavioral Health,Casper Clinic,Psychiatric Care: Psychologists,"Discover Top Mental Health Therapy in Wyoming. Expert Counselors for Family, Couples, and Individual Therapy. Start Your Path to Wellness—Contact Us Today!",,11,20,,In-Person,https://www.prbhwy.com/,referral@prbhwy.com,"940 East 3rd Street suite 104, Casper, WY 82601","Appointment Request
 
 
 
 
 
 
 
 The future depends on what you do in the present 
 
 
 
 
APPOINTMENT REQUEST
 
 
 
 
 
 
 
 Whe",42.8477864,-106.3128254,,,307-462-4876,,,,,,,free,all through adulthood,,,transitions,,,https://www.facebook.com/profile.php?id=61553247727430,,,,Casper,,,,,
51,Windy Ridge Psychological Services,,Psychiatric Care: Psychologists,Dr. Cheryl Godley provides a proactive and change-oriented approach to addressing life&#8217;s challenges.,,11,20,,In-Person,https://cherylgodley.com/,annette.carter@pacbell.net,"1607 CY Ave Suite 302, Casper, WY 82604",Appointments &amp; Insurance      Contact      Dr,42.8307495,-106.3450595,,,307-234-0500,,,,,,,Insurance,,,,,,,,,,,Casper,,,,,
52,12-24 Club,,Substance Use: Treatment & Prevention,"Support groups for youth, adults, and families. Co-dependents/ alcoholics/narcotics/overeaters/ crystal meth/eating disorders anonymous. Al-Anon (for relatives and friends of alcoholics), grief support group (for suicide survivors),",,11,20,,In-Person,https://www.1224club.org/programs/,,"500 S Wolcott St Suite 200, Casper, WY 82601",,42.8455380,-106.3238660,,,307-237-8035,,,,,,,free,at www,,,,,,https://www.facebook.com/1224Club,,,,Casper,,,,,
57,Suicide Prevention Task Force,NCSPTF@mercercasper.com,Crisis Services: Suicide Prevention & Hotlines,"To truly increase suicide awareness and prevention throughout the State of Wyoming, it requires hard work from all involved, and we appreciate any dollar amount donation you would like to support our cause with. The Natrona County Suicide Prevention Task force is dedicated to ensuring that any money donated is properly used to progress suicide prevention efforts.",,11,20,,Online Only,https://natronacountysuicideprevention.org/,badame@mercercasper.com,,,,,,,307-233-4262 to join,,,,,,,free,"English,Spanish",,adame@mercercasper,,,,http://www.facebook.com/2008/fbml,,,,,,,,,
122,First Christian Church Youth Ministries,,Faith Based: Youth Groups,"In addition to Sunday morning classes, we offer youth groups that meet for special activities on Sunday afternoons or evenings. Youth group activities include a variety of study, service, fellowship and FUN! Youth groups allow teens and pre-teens time to further explore their relationship with God, the World, their Families and themselves in an informal, supervised setting.",,,,,Faith-Based,http://www.fcccasper.org/ministries/youth/,,"520 CY Avenue, Casper, WY 82601",,42.8445,-106.3258,,,307-234-8964,,,,,,,,,First Christian Church,,,,,,,,,Casper,,,,,
37,The Healing Place,Highland Park Community Church,Counseling: Individual Providers,"It is the mission of the staff of The Healing Place to provide a place of healing, reconciliation, and safety for those struggling with life’s challenges. Our calling is to represent Jesus Christ to our churches, agencies, and the community. We are committed to providing these services with compassion, hope, grace, and excellence. The State of Wyoming licenses all our counselors.",,11,20,,"In-Person,Faith-Based",https://hpcc.church/the-healing-place/,,"5725 Highland Dr, Casper, WY 82609",,42.8350,-106.2820,,,307-265-3977,,,,,,,,WY 82609    307,,,"transition, parent-child conflict, and various emotional/behavioral issues",,https://x.com/hpccwy,http://facebook.com/hpccwy,https://www.youtube.com/channel/UC1DU_jYrI1hyuasQi9qAvmw,http://instagram.com/hpccwy,,Casper,,,,,
135,Highland Park Youth Group,,Faith Based: Youth Groups,"High School Youth Group meets Sunday nights Sept-May. Students in grades 9-12 check in upstairs for worship, Bible study, small groups, fun and games..",,,,,Faith-Based,https://hpcc.church/youth/,bvalentine@hpcc.cc,"5725 Highland Drive, Casper, WY 82609",,42.8350,-106.2820,,,307-265-4073,,,,,,,,,Highland Park Community Church,,,,https://x.com/hpccwy,http://facebook.com/hpccwy,https://www.youtube.com/channel/UC1DU_jYrI1hyuasQi9qAvmw,http://instagram.com/hpccwy,,Casper,,,,,
180,Rock of Ages Youth Group,,Faith Based: Youth Groups,Youth group will use cooking skills as a way to engage youth and their families.,,,,,Faith-Based,,,"956 N Poplar, Casper, WY 82601",,42.8565,-106.3298,,,970-462-5091,,,,,,,,,Rock of Ages Church,,,,,,,,,Casper,,,,,
198,The Link - Casper Youth For Christ,,Faith Based: Youth Groups,"Provides a space for youth to access support and guidance with activities, meals, and fellowship.",,,,,Faith-Based,https://casperyfc.org/,,"353 W A St, Casper, WY 82601",,42.8505,-106.3282,,,307-235-6650,,,,,,,,,,,,,,,,,,Casper,,,,,
158,Mountain View Baptist Food Pantry,,Basic Needs: Food,Open Wednesdays 12:30pm - 3:30pm. There is an open box food pantry on site with non-perishable food items accessible at any time.,,,,,Faith-Based,https://www.mountainviewcasper.org/food-pantry,,"4250 Poison Spider Rd, Mills, WY 82604",,42.8500,-106.3780,,,307-234-4381,,,,,,,,,Mountain View Baptist Church,,,,,,,,,Mills,,,,,
47,Specialty Counseling,,Psychiatric Care: Medication Management,"Individual, family, group, marrage, couples, intimacy, children, adolescent and adult counseling. Specialty areas: trauma, EMDR, mood management, ADHD, LGBTQIA+, dependency/substance use, disorderly eating, grief and loss.",,11,20,,"In-Person,Trauma,EMDR,LGBTQ-Friendly,Substance Use",https:specialtycounseling.com/,,"3925 Casper Mountain Road, Casper, WY 82601",,42.8084070,-106.3305160,,,307-222-3042,,,,,,,,,,,,,,,,,,Casper,,,,,
2,Cedar Ridge Child and Family Counseling,Cedar Ridge Child & Family Counseling,Counseling: Offices,"Multiple clinicians provide therapy for children and teens ages 0-17. Telehealth available. EMDR and trauma focused CBT. Registered play therapist, addresses social, emotional, and behavioral health challenges in the school, home, and work environment. Depression, anxiety, ADHD, anger, family conflict and parenting, abuse and neglect. Medicaid accepted.",,11,20,,"In-Person,Telehealth,Medicaid,Trauma,EMDR",,,"2345 East 2nd Street, Casper, WY 82609",,42.8486633,-106.2950018,,,307-333-1301,,,,,,,,,,,,,,,,,,Casper,,,,,
48,Central Wyoming Counseling Center,Central Wyoming Counseling Center,Psychiatric Care: Medication Management,"Central Wyoming Counseling Center’s compassionate clinicians and support staff are dedicated to bringing hope, healing, and recovery to the people we serve.",,11,20,,"In-Person,Medicaid",https://cwcc.us/,hosting@thebarkfirm.com,"1430 Wilkins Circle, Casper, WY 82601","APPOINTMENT  
								 
								 
									Telehealth available for most outpatient services",42.8653176,-106.3416615,,,307-237-9583,,,,,,,Insurance,for most outpatient services,,,,,,https://www.facebook.com/tr?id=260823243714686&ev=PageView&noscript=1,,https://www.instagram.com/centralwyocc/,,Casper,,,,,
53,Wyo Quits,,Substance Use: Treatment & Prevention,"FREE coaching, patches and gum, and a personalized plan to help you quit tobacco for good. Call 1-800-QUIT-NOW or enroll online. Provided by Wyoming Quit Tobacco.",,11,20,,"Online Only,Free",https://www.quitwyo.org/,,,Get started in as little as 5 minutes online&nbsp;or 10-15 minutes by phone,,,,,2545352419,,,,,,,free,,,,,,,,,,,,,,,,
49,Community Health Centers of Central Wyoming,Community Health Center of Central Wyoming,Psychiatric Care: Medication Management,Provides adolescent and adult psychiatry. Medicaid and Medicare accepted.,,11,20,,"In-Person,Medicaid,Medicare",https://www.chccw.org/our-services/behavioral-health/,,"5000 Blackmore Road, Casper, WY 82609",,42.8420972,-106.2578872,,,307-233-6000,,,,,,,,,,,,,,,,,,Casper,,,,,
56,Wyoming Behavioral Institute,Wyoming Behavioral Institute,Crisis Services: Suicide Prevention & Hotlines,"Wyoming Behavioral Health Institute is a behavioral health facility in Casper, Wyoming that provides services to children, adolescents and adults.",,11,20,,"In-Person,Free,Crisis",https://wbihelp.com,,"2521 East 15th St, Casper, WY 82609",,42.8346236,-106.2942131,,,800-457-9312,,,,,,,Insurance,for children,,,,https://wbihelp.com/blog/,,https://www.facebook.com/WyomingBehavioral/,,https://www.instagram.com/wyomingbehavioral/,,Casper,,,,,
54,Mercer Family Resource Center,Mercer Family Resource Center,Substance Use: Treatment & Prevention,Anger Management is a course for teens 12-18. This program uses the curriculum Responding in Peaceful and Positive Ways. This program is designed to enable your teen to recognize the underlying emotions/triggers and replace anger with healthy coping skills.,,11,20,,"In-Person,Substance Use",https://mercercasper.com/youth-classes,mercer@mercercasper.com,"535 W. Yellowstone Highway, Casper, WY 82601","intake paperwork
     
    

   




      

 
    Anger Management for Teens Coping, Resiliency, &amp; Growth",42.8473725,-106.3304308,,,307-265-7366,,,,,,,free,modern,,accessible to anyone in the community!,,,,http://www.facebook.com/2008/fbml,,http://instagram.com/mercerfrc1971,,Casper,,,,,
27,Into Eden: Christian Counseling and Wellness,,Counseling: Individual Providers,"Provides Godly counsel for adolescents ages 12 through adulthood. Supports healing from lifelong trauma, anxiety, or depression.",,11,20,,"In-Person,Faith-Based,Trauma",https://intoeden.cc/,admin@intoeden.cc,"1632 E. 2nd Street, Casper WY 82601",Get Started                         Current Client Login                           Services    Wellness Coaching    Christian Couns,42.8488520,-106.3034548,,,307-200-9812,,,,,,,free. insurance,In-network,,,Transitions             Grief                        Are you  struggling  with your wei,https://intoeden.cc/blog/,,https://www.facebook.com/audrey.steinle,https://www.youtube.com/@AudreySteinle-IntoEden,https://www.instagram.com/intoedencc/,,Casper,,,,,
55,988 Hotline,,Crisis Services: Suicide Prevention & Hotlines,Suicide and crisis lifeline. Available 24/7. Free & confidential,,11,20,,"Online Only,Free,Crisis",https://health.wyo.gov/publichealth/prevention/wivpp/suicide-prevention/988-suicide-crisis-lifeline/,,,,,,,,988,,,,,,,,,,,,,,,,,,,,,,,
32,"Melanie Connell, MA, LPC",,Counseling: Individual Providers,"Provides therapy services to children, adolescent, and families. Offers EMDR. Christian counseling. Medicaid accepted.",,11,20,,"In-Person,Faith-Based,Medicaid,EMDR",https://melanieconnell.com/,,"800 Werner Court Suite 300, Casper, WY 82601",,42.8597250,-106.3327580,,,307-797-4827,,,,,,,Medicaid. free. insurance,,,,,,,,,,,Casper,,,,,
46,Radiant Path Psychiatry,,Psychiatric Care: Medication Management,Dr. R. Alexander Padilla offers telehealth services only. Must have three counseling sessions before psychiatry appointment.,,11,20,,"Online Only,Telehealth",https://www.radiantpathpsychiatry.com/about,,Online Services only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Wyoming Behavioral Institute,Wyoming Behavioral Institute,Counseling: Offices,"Virtual mental health intensive outpatient program for teens ages 13 to 17. Individual and family teletherapy. Medicaid, Medicare, and most commercial insurances accepted.",,11,20,,"In-Person,Telehealth,Medicaid,Medicare",https://wbihelp.com/treatment-services/telehealth/,,"2521 East 15th St, Casper, WY 82609","Appointments, Call  307-439-2139  
 We offer services for depression, anxiety, grief, stress and more",42.8346236,-106.2942131,,,307-439-2139,,,,,,,Insurance,,,,transitions for youth in acute and residential treatment settings,https://wbihelp.com/blog/,,,https://www.youtube.com/watch?v=7JWins8KULU,,,Casper,,,,,
